nome,preço,referência,marca,stock (disponivel/indisponivel),categoria,descrição,imagens
SERRA PODA A BATERIA MADER REF.69470,89.95,69470,,disponivel,Jardim e Agricultura,,SERRA PODA A BATERIA MADER REF.69470.jpg, SERRA PODA A BATERIA MADER REF.69470-2.jpg, SERRA PODA A BATERIA MADER REF.69470-3.jpg, SERRA PODA A BATERIA MADER REF.69470-4.jpg, SERRA PODA A BATERIA MADER REF.69470-5.jpg, SERRA PODA A BATERIA MADER REF.69470-6.jpg
SERRA PODA ELÉTRICA LIKE 350W SC-5803,167.80,7678,,disponivel,Jardim e Agricultura,,SERRA PODA ELÉTRICA LIKE 350W SC-5803.PNG
SERRAS PODA A BATERIA MADER REF.69352,89.80,69352,Mader,disponivel,Jardim e Agricultura,,SERRAS PODA A BATERIA MADER REF.69352.PNG, SERRAS PODA A BATERIA MADER REF.69352-2.PNG, SERRAS PODA A BATERIA MADER REF.69352-3.PNG, SERRAS PODA A BATERIA MADER REF.69352-4.PNG
SERRAS PODA A BATERIA MADER REF.69461,274.90,69461,Mader,disponivel,Jardim e Agricultura,,SERRAS PODA A BATERIA MADER REF.69461.jpg, SERRAS PODA A BATERIA MADER REF.69461-2.jpg, SERRAS PODA A BATERIA MADER REF.69461-3.jpg, SERRAS PODA A BATERIA MADER REF.69461-4.jpg, SERRAS PODA A BATERIA MADER REF.69461-5.jpg, SERRAS PODA A BATERIA MADER REF.69461-6.jpg, SERRAS PODA A BATERIA MADER REF.69461-7.jpg, SERRAS PODA A BATERIA MADER REF.69461-8.jpg
SERRAS PODA A BATERIA MADER REF.69475,149.90,69475,Mader,disponivel,Jardim e Agricultura,,SERRAS PODA A BATERIA MADER REF.69475.jpg, SERRAS PODA A BATERIA MADER REF.69475-2.jpg, SERRAS PODA A BATERIA MADER REF.69475-3.jpg, SERRAS PODA A BATERIA MADER REF.69475-4.jpg, SERRAS PODA A BATERIA MADER REF.69475-5.jpg, SERRAS PODA A BATERIA MADER REF.69475-6.jpg, SERRAS PODA A BATERIA MADER REF.69475-7.jpg, SERRAS PODA A BATERIA MADER REF.69475-8.jpg, SERRAS PODA A BATERIA MADER REF.69475-9.jpg
SERRAS PODA ELÉTRICA LIKE 350W CS012 C/LUBRIFICAÇÃO REF.5039,98.70,0054,Like,disponivel,Jardim e Agricultura,,SERRAS PODA ELÉTRICA LIKE 350W CS012 C-LUBRIFICAÇÃO REF.5039.PNG
SERROTES PODA CABO MADEIRA,7.50,3336,,disponivel,Jardim e Agricultura,,SERROTES PODA CABO MADEIRA.jpg
TESOURA PODA ALTA TELESCÓPICA BYPASS RELVA,21.80,9724,Konta,disponivel,Jardim e Agricultura,,TESOURA PODA ALTA TELESCÓPICA BYPASS RELVA.jpg
TESOURA PODA CABO ALUMINIO EXTENSÍVEL WURKO/MADER REF.355573 REF.90106,28.50,4745,Mader,disponivel,Jardim e Agricultura,,TESOURA PODA CABO ALUMINIO EXTENSÍVEL WURKO-MADER REF.355573 REF.90106.jpg
TESOURA PODA CABO EXTENSIVEL C/SERROTE KIPA,21.50,9418,,disponivel,Jardim e Agricultura,,
TESOURA PODA CARPA 23,8.90,205,Orework,disponivel,Jardim e Agricultura,,TESOURA PODA CARPA 23.jpg
TESOURA PODA DUPLO EIXO MADER REF.67712,15.90,9984,Mader,disponivel,Jardim e Agricultura,,TESOURA PODA DUPLO EIXO MADER REF.67712.jpg
TESOURA PODA ELÉTRICA EASY L,882.50,LN440200,,disponivel,Jardim e Agricultura,,TESOURA PODA ELÉTRICA EASY L.jpg
TESOURA PODA ELÉTRICA SPEEDY,273.00,LN240600,,disponivel,Jardim e Agricultura,,TESOURA PODA ELÉTRICA SPEEDY.jpeg
TESOURA PODA ELÉTRICA STARK L,581.15,LN240800,,disponivel,Jardim e Agricultura,,TESOURA PODA ELÉTRICA STARK L.JPG
TESOURA PODA ELÉTRICA STARK M,496.30,LN24700,,disponivel,Jardim e Agricultura,,TESOURA PODA ELÉTRICA STARK M.jpeg
TESOURA PODA EXTENSÍVEL DUPLO EIXO 63-95CM MADER REF.67709,24.95,9218,Mader,disponivel,Jardim e Agricultura,,TESOURA PODA EXTENSÍVEL DUPLO EIXO 63-95CM MADER REF.67709.jpg
TESOURA PODA EXTENSÍVEL DUPLO EIXO 66-99CM MADER REF.67710,24.50,599,Mader,disponivel,Jardim e Agricultura,,TESOURA PODA EXTENSÍVEL DUPLO EIXO 66-99CM MADER REF.67710.jpg, TESOURA PODA EXTENSÍVEL DUPLO EIXO 66-99CM MADER REF.67710-2.jpg
TESOURA PODA EXTENSÍVEL VITO,15.95,8819,,disponivel,Jardim e Agricultura,,TESOURA PODA EXTENSÍVEL VITO.jpg
TESOURA PODA GE-LS 18 LI SOLO (REF.3408300) + STARTER KIT 2.5AH (REF:4512097) EINHELL,104.90,9784,Einhell,disponivel,Jardim e Agricultura,,TESOURA PODA GE-LS 18 LI SOLO (REF.3408300) + STARTER KIT 2.5AH (REF-4512097) EINHELL.png, TESOURA PODA GE-LS 18 LI SOLO (REF.3408300) + STARTER KIT 2.5AH (REF-4512097) EINHELL-2.jpg, TESOURA PODA GE-LS 18 LI SOLO (REF.3408300) + STARTER KIT 2.5AH (REF-4512097) EINHELL-3.jpg, TESOURA PODA GE-LS 18 LI SOLO (REF.3408300) + STARTER KIT 2.5AH (REF-4512097) EINHELL-4.jpg, TESOURA PODA GE-LS 18 LI SOLO (REF.3408300) + STARTER KIT 2.5AH (REF-4512097) EINHELL-5.jpg
TESOURA PODA GE-LS 18 LI SOLO REF.3408300 EINHELL,79.95,9784,Einhell,disponivel,Jardim e Agricultura,,TESOURA PODA GE-LS 18 LI SOLO REF.3408300 EINHELL.jpg, TESOURA PODA GE-LS 18 LI SOLO REF.3408300 EINHELL-2.jpg, TESOURA PODA GE-LS 18 LI SOLO REF.3408300 EINHELL-3.jpg
TESOURA PODA GE-LS 18 LI-SOLO + CARREGADOR/BATERIA 2.5AH,99.95,8300,Einhell,disponivel,Jardim e Agricultura,,TESOURA PODA GE-LS 18 LI-SOLO + CARREGADOR-BATERIA 2.5AH.png, TESOURA PODA GE-LS 18 LI-SOLO + CARREGADOR-BATERIA 2.5AH-2.jpg, TESOURA PODA GE-LS 18 LI-SOLO + CARREGADOR-BATERIA 2.5AH-3.jpg
TESOURA PODA KIPA 225MM,11.50,7784,,disponivel,Jardim e Agricultura,,TESOURA PODA KIPA 225MM.png
TESOURA PODA KIPA ALUMÍNIO 215MM REF.9430,14.85,2733,,disponivel,Jardim e Agricultura,,TESOURA PODA KIPA ALUMÍNIO 215MM REF.9430.png
TESOURA PODA KM5 CABO ALUMÍNIO,22.65,0113,,disponivel,Jardim e Agricultura,,TESOURA PODA KM5 CABO ALUMÍNIO.jpg
TESOURA VINDIMA INOX CURVA,4.70,5717,Vito,disponivel,Jardim e Agricultura,,TESOURA VINDIMA INOX CURVA.png
TESOURA VINDIMA INOX DIREITA,4.70,5717,Vito,disponivel,Jardim e Agricultura,,TESOURA VINDIMA INOX DIREITA.jpg
TESOURA VINDIMA KIPA 190MM,4.95,9187,,disponivel,Jardim e Agricultura,,TESOURA VINDIMA KIPA 190MM.jpg, TESOURA VINDIMA KIPA 190MM-2.jpg
TESOURAS PODA CABO ALUMINIO EXTENSÍVEL MADER REF.90125,41.80,6036,Mader,disponivel,Jardim e Agricultura,,TESOURAS PODA CABO ALUMINIO EXTENSÍVEL MADER REF.90125.PNG
TESOURAS PODA ELÉCTRICA LIKE 840W SC-8608 C/2BAT. REF.5034,193.80,9251,Like,disponivel,Jardim e Agricultura,,TESOURAS PODA ELÉCTRICA LIKE 840W SC-8608 C-2BAT. REF.5034.PNG
TESOURAS RAMOS MADER REF.90101,49.99,90101,Mader,disponivel,Jardim e Agricultura,,TESOURAS RAMOS MADER REF.90101.jpg, TESOURAS RAMOS MADER REF.90101-2.jpg, TESOURAS RAMOS MADER REF.90101-3.jpg, TESOURAS RAMOS MADER REF.90101-4.jpg, TESOURAS RAMOS MADER REF.90101-5.jpg, TESOURAS RAMOS MADER REF.90101-6.jpg, TESOURAS RAMOS MADER REF.90101-7.jpg, TESOURAS RAMOS MADER REF.90101-8.jpg
TESOURAS VINDIMA CURVA/DIREITA CARPA,5.50,2150,,disponivel,Jardim e Agricultura,,TESOURAS VINDIMA CURVA-DIREITA CARPA.PNG
UNHAS VINDIMA,0.95,2915,,disponivel,Jardim e Agricultura,,